SKU,MissingValue,DefaultApplied
HBG103597PN,Length - in,3.15
HBG103597YL,Length - in,3.15
HBG103385B,Length - in,3.15
HBG103385BEI,Length - in,3.15
HBG103385BL,Length - in,3.15
HBG103385PN,Length - in,3.15
HBG103385R,Length - in,3.15
HBG103387B,Length - in,3.15
HBG103387BL,Length - in,3.15
HBG103387KH,Length - in,3.15
HBG103387PN,Length - in,3.15
HBG103675B,Length - in,3.15
HBG103675BL,Length - in,3.15
HBG103675CH,Length - in,3.15
HBG103675GR,Length - in,3.15
HBG103342B,Length - in,3.15
HBG103342BEI,Length - in,3.15
HBG103342BL,Length - in,3.15
HBG103342BR,Length - in,3.15
HBG103342GR,Length - in,3.15
HBG103342GY,Length - in,3.15
HBG103342R,Length - in,3.15
HBG104955BL,Width - in,3.15
HBG104955G,Width - in,3.15
HBG104955OR,Width - in,3.15
HBG104955PN,Width - in,3.15
HBG104955PU,Width - in,3.15
HBG104955R,Width - in,3.15
HBG104955S,Width - in,3.15
HBG104955W,Width - in,3.15
HBG104955YL,Width - in,3.15
HM00587,Width - in,3.15
HBG104364G,Width - in,3.15
HBG104364B,Width - in,3.15
HBG104364S,Width - in,3.15
HBG104363B,Width - in,3.15
HBG104361CH,Width - in,3.15
HBG104362B,Width - in,3.15
HBG104362CH,Width - in,3.15
HBG104362G,Width - in,3.15
HBG104053B,Width - in,3.15
HBG104053FU,Width - in,3.15
HBG104053G,Width - in,3.15
HBG104053PN,Width - in,3.15
HBG104053S,Width - in,3.15
HL00497B,Width - in,3.15
HL00497FU,Width - in,3.15
HL00497G,Width - in,3.15
HL00497PN,Width - in,3.15
HL00497S,Width - in,3.15
HBG104299S,Width - in,3.15
HM00588,Width - in,3.15
HM00590BL,Width - in,3.15
HW00729G,Width - in,3.15
HW00729S,Width - in,3.15
HW00727G,Width - in,3.15
HW00727S,Width - in,3.15
HL00467,Width - in,3.15
HL00466,Width - in,3.15
HBG103995BEI,Width - in,3.15
HBG103995BL,Width - in,3.15
HBG103995W,Width - in,3.15
HBG103996KH,Width - in,3.15
HBG103996W,Width - in,3.15
HBG104047B,Width - in,3.15
HBG104047GR,Width - in,3.15
HBG104047PN,Width - in,3.15
HBG104047W,Width - in,3.15
HBG104003BEI,Width - in,3.15
HBG103687BEI,Width - in,3.15
HBG103687MIN,Width - in,3.15
HBG103687PN,Width - in,3.15
HBG105047G,Width - in,3.15
HBG105047S,Width - in,3.15
HM00527BL,Width - in,3.15
HM00527CL,Width - in,3.15
HM00527GR,Width - in,3.15
HM00527PN,Width - in,3.15
HM00528BL,Width - in,3.15
HM00528R,Width - in,3.15
HM00528YL,Width - in,3.15
HBG105256G,Width - in,3.15
HBG105256S,Width - in,3.15
HBG105253G,Width - in,3.15
HBG105253S,Width - in,3.15
HBG103341B,Width - in,3.15
HBG103341BEI,Width - in,3.15
HBG103341BL,Width - in,3.15
HBG103341BR,Width - in,3.15
HBG103341GR,Width - in,3.15
HBG103341R,Width - in,3.15
HBG103462BL,Width - in,3.15
HBG103462OR,Width - in,3.15
HBG103462W,Width - in,3.15
HBG103462YL,Width - in,3.15
HBG103448BEI,Width - in,3.15
HBG103448BR,Width - in,3.15
HBG104480BL,Width - in,3.15
HBG104480GR,Width - in,3.15
HBG104480MIN,Width - in,3.15
HBG104480OR,Width - in,3.15
HBG104480PN,Width - in,3.15
HBG104480R,Width - in,3.15
HBG104480YL,Width - in,3.15
HBG103944B,Width - in,3.15
HBG103944LBL,Width - in,3.15
HBG103944LM,Width - in,3.15
HBG103944OL,Width - in,3.15
HBG103944OR,Width - in,3.15
HBG103944YL,Width - in,3.15
